序号,原版 event,category,vibration_intensity,audio,audio_intensity,player_only,haptics.lua 行,重复定义数,源码字面引用数,原版原始逻辑/证据,目前实现的触发逻辑,正常交互保护,空间/player_only 逻辑,目前具体震动方式,保真度与限制
219,meta4/winona_teleumbrella/telaumbrella_out,PLAYER,1.0,True,1.0,True,287,1,1,"haptics.lua 第 287 行注册；触发证据：stategraphs/SGwilson.lua:24570 inst.SoundEmitter:PlaySound(""meta4/winona_teleumbrella/telaumbrella_out"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
220,wolfgang2/characters/wolfgang/grunt,PLAYER,1.0,True,1.0,True,290,1,4,"haptics.lua 第 290 行注册；触发证据：stategraphs/SGwilson.lua:8124 inst.SoundEmitter:PlaySound(""wolfgang2/characters/wolfgang/grunt"")；stategraphs/SGwilson.lua:8193 inst.SoundEmitter:PlaySound(""wolfgang2/characters/wolfgang/grunt"")；stategraphs/SGwilson.lua:8202 inst.SoundEmitter:PlaySound(""wolfgang2/characters/wolfgang/grunt"")；另 1 处",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
221,dontstarve/characters/woodie/moose/roar,PLAYER,1.0,True,1.0,True,293,1,1,"haptics.lua 第 293 行注册；触发证据：stategraphs/SGwilson.lua:3092 inst.SoundEmitter:PlaySound(""dontstarve/characters/woodie/moose/roar"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,咆哮/蓄力三段包络（上升—峰值—衰减）,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
222,dontstarve/characters/woodie/moose/punch,PLAYER,1.0,True,1.0,True,294,1,2,"haptics.lua 第 294 行注册；触发证据：stategraphs/SGwilson.lua:10920 inst.SoundEmitter:PlaySound(""dontstarve/characters/woodie/moose/punch"", nil, nil, true)；stategraphs/SGwilson_client.lua:5209 inst.SoundEmitter:PlaySound(""dontstarve/characters/woodie/moose/punch"", nil, nil, true)",客户端 Lua 路径由 SoundEmitter 钩子精确处理；服务端直接复制路径依赖同事件是否也有客户端回调,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,通用单脉冲包络,混合：客户端路径精确，纯服务端路径存在引擎可观察性限制
223,dontstarve/characters/woodie/moose/slide,PLAYER,1.0,True,1.0,True,295,1,2,"haptics.lua 第 295 行注册；触发证据：stategraphs/SGwilson.lua:21834 inst.SoundEmitter:PlaySound(""dontstarve/characters/woodie/moose/slide"", nil, 0.3)；stategraphs/SGwilson.lua:22142 inst.SoundEmitter:PlaySound(""dontstarve/characters/woodie/moose/slide"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
224,meta2/woodie/weremoose_groundpound,PLAYER,1.0,True,1.0,True,296,1,2,"haptics.lua 第 296 行注册；触发证据：stategraphs/SGwilson.lua:10874 inst.SoundEmitter:PlaySound(""meta2/woodie/weremoose_groundpound"", nil, nil, true)；stategraphs/SGwilson_client.lua:5155 inst.SoundEmitter:PlaySound(""meta2/woodie/weremoose_groundpound"", nil, nil, true)",客户端 Lua 路径由 SoundEmitter 钩子精确处理；服务端直接复制路径依赖同事件是否也有客户端回调,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,爆炸/重击三段冲击包络,混合：客户端路径精确，纯服务端路径存在引擎可观察性限制
225,meta2/woodie/werebeaver_groundpound,PLAYER,1.0,True,1.0,True,297,1,1,"haptics.lua 第 297 行注册；触发证据：stategraphs/SGwilson.lua:22235 inst.SoundEmitter:PlaySound(""meta2/woodie/werebeaver_groundpound"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,爆炸/重击三段冲击包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
226,meta2/woodie/weregoose_takeoff,PLAYER,1.0,True,1.0,True,298,1,1,"haptics.lua 第 298 行注册；触发证据：stategraphs/SGwilson.lua:22297 inst.SoundEmitter:PlaySound(""meta2/woodie/weregoose_takeoff"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
227,meta2/woodie/weregoose_land,PLAYER,1.0,True,1.0,True,299,1,1,"haptics.lua 第 299 行注册；触发证据：stategraphs/SGwilson.lua:22390 inst.SoundEmitter:PlaySound(""meta2/woodie/weregoose_land"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,脚步/落地双脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
228,dontstarve/characters/wormwood/living_log_craft,PLAYER,1.0,True,1.0,True,302,1,1,"haptics.lua 第 302 行注册；触发证据：stategraphs/SGwilson.lua:20993 inst.SoundEmitter:PlaySound(""dontstarve/characters/wormwood/living_log_craft"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
229,dontstarve/characters/wormwood/fertalize_LP,PLAYER,1.0,True,1.0,True,303,1,2,"haptics.lua 第 303 行注册；触发证据：stategraphs/SGwilson.lua:21045 inst.SoundEmitter:PlaySound(""dontstarve/characters/wormwood/fertalize_LP"", ""rub"")；stategraphs/SGwilson.lua:21117 inst.SoundEmitter:PlaySound(""dontstarve/characters/wormwood/fertalize_LP"", ""rub"")",SoundEmitter 具名循环钩子；PlayingSound、SetParameter、SetVolume、KillSound/KillAllSounds 驱动,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,具名循环：85 ms 更新、100 ms 连续脉冲；KillSound/音量/实体/暂停/卸载控制生命周期,高（客户端 Lua 可见循环）；已验证参数逐事件映射，未知参数保持中性
230,dontstarve/characters/wortox/soul/hop_out,PLAYER,1.0,True,1.0,True,306,1,6,"haptics.lua 第 306 行注册；触发证据：fx.lua:3603 inst.SoundEmitter:PlaySound(""dontstarve/characters/wortox/soul/hop_out"")；fx.lua:3614 inst.SoundEmitter:PlaySound(""dontstarve/characters/wortox/soul/hop_out"")；fx.lua:3626 inst.SoundEmitter:PlaySound(""dontstarve/characters/wortox/soul/hop_out"")；另 3 处",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
231,dontstarve/characters/wx78/spark,PLAYER,1.0,True,1.0,True,311,1,2,"haptics.lua 第 311 行注册；触发证据：prefabs/electric_charged_fx.lua:8 inst.SoundEmitter:PlaySound(""dontstarve/characters/wx78/spark"")；prefabs/sparks.lua:3 inst.SoundEmitter:PlaySound(inst.sound_to_play or ""dontstarve/characters/wx78/spark"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
232,WX_rework/chassis/internal_rumble,PLAYER,1.0,True,1.0,True,312,1,8,"haptics.lua 第 312 行注册；触发证据：stategraphs/SGwilson.lua:3726 inst.SoundEmitter:PlaySound(""WX_rework/chassis/internal_rumble"")；stategraphs/SGwilson.lua:3746 inst.SoundEmitter:PlaySound(""WX_rework/chassis/internal_rumble"")；stategraphs/SGwilson.lua:28099 FrameEvent(0, function(inst) inst.SoundEmitter:PlaySound(""WX_rework/chassis/internal_rumble"") end),；另 5 处",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
233,WX_rework/tube/HUD_in,PLAYER,1.0,True,1.0,False,313,1,2,"haptics.lua 第 313 行注册；触发证据：widgets/upgrademodulesdisplay.lua:477 PlayFirstSound(""WX_rework/tube/HUD_in"")；widgets/upgrademodulesdisplay_inspecting.lua:1145 PlayFirstSound(""WX_rework/tube/HUD_in"")",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高：客户端 Lua 原调用、参数与返回值不改变
234,WX_rework/tube/HUD_out,PLAYER,1.0,True,1.0,False,314,1,8,"haptics.lua 第 314 行注册；触发证据：widgets/upgrademodulesdisplay.lua:296 self:PlayUpgradeModuleSound(""WX_rework/tube/HUD_out"")；widgets/upgrademodulesdisplay.lua:481 PlayFirstSound(""WX_rework/tube/HUD_out"")；widgets/upgrademodulesdisplay.lua:485 PlayFirstSound(""WX_rework/tube/HUD_out"")；另 5 处",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高：客户端 Lua 原调用、参数与返回值不改变
235,WX_rework/tube/HUD_on,PLAYER,1.0,True,1.0,False,315,1,2,"haptics.lua 第 315 行注册；触发证据：widgets/upgrademodulesdisplay.lua:255 self:PlayUpgradeModuleSound(""WX_rework/tube/HUD_on"", true)；widgets/upgrademodulesdisplay_inspecting.lua:864 TheFrontEnd:GetSound():PlaySound(""WX_rework/tube/HUD_on"")",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高：客户端 Lua 原调用、参数与返回值不改变
236,WX_rework/tube/HUD_off,PLAYER,1.0,True,1.0,False,316,1,2,"haptics.lua 第 316 行注册；触发证据：widgets/upgrademodulesdisplay.lua:242 self:PlayUpgradeModuleSound(""WX_rework/tube/HUD_off"", true)；widgets/upgrademodulesdisplay_inspecting.lua:850 TheFrontEnd:GetSound():PlaySound(""WX_rework/tube/HUD_off"")",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高：客户端 Lua 原调用、参数与返回值不改变
237,WX_rework/module_tray/shadowheart2_implant,PLAYER,1.0,True,1.0,False,317,1,1,"haptics.lua 第 317 行注册；触发证据：widgets/upgrademodulesdisplay_inspecting.lua:208 plug_sound = ""WX_rework/module_tray/shadowheart2_implant"",",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,工具双脉冲包络,高：客户端 Lua 原调用、参数与返回值不改变
238,WX_rework/module_tray/shadowheart_implant,PLAYER,1.0,True,1.0,False,318,1,1,"haptics.lua 第 318 行注册；触发证据：widgets/upgrademodulesdisplay_inspecting.lua:197 plug_sound = ""WX_rework/module_tray/shadowheart_implant"",",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,工具双脉冲包络,高：客户端 Lua 原调用、参数与返回值不改变
239,WX_rework/module_tray/shadowfuel_implant,PLAYER,1.0,True,1.0,False,319,1,2,"haptics.lua 第 319 行注册；触发证据：widgets/upgrademodulesdisplay_inspecting.lua:179 plug_sound = ""WX_rework/module_tray/shadowfuel_implant"",；widgets/upgrademodulesdisplay_inspecting.lua:189 plug_sound = ""WX_rework/module_tray/shadowfuel_implant"",",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,工具双脉冲包络,高：客户端 Lua 原调用、参数与返回值不改变
240,WX_rework/bee_shield/activate,PLAYER,1.0,True,1.0,True,320,1,3,"haptics.lua 第 320 行注册；触发证据：widgets/healthbadge.lua:300 TheFrontEnd:GetSound():PlaySound(""WX_rework/bee_shield/activate"")；widgets/healthbadge.lua:308 PlaySound(""WX_rework/bee_shield/activate"")；widgets/healthbadge.lua:313 PlaySound(""WX_rework/bee_shield/activate"")",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,通用单脉冲包络,高：客户端 Lua 原调用、参数与返回值不改变
241,WX_rework/bee_shield/break,PLAYER,1.0,True,1.0,True,321,1,2,"haptics.lua 第 321 行注册；触发证据：widgets/healthbadge.lua:328 PlaySound(""WX_rework/bee_shield/break"")；widgets/healthbadge.lua:334 PlaySound(""WX_rework/bee_shield/break"")",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,通用单脉冲包络,高：客户端 Lua 原调用、参数与返回值不改变
242,WX_rework/screech/loop,PLAYER,2.0,True,1.0,True,322,1,2,"haptics.lua 第 322 行注册；触发证据：stategraphs/SGwx78_common.lua:1040 inst.SoundEmitter:PlaySound(""WX_rework/screech/loop"", ""wx_screech"")；stategraphs/SGwx78_common.lua:1072 inst.SoundEmitter:PlaySound(""WX_rework/screech/loop"", ""wx_screech"")",SoundEmitter 具名循环钩子；PlayingSound、SetParameter、SetVolume、KillSound/KillAllSounds 驱动,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；本地玩家归属过滤,要求 emitter entity == ThePlayer；原版明确由本地 FrontEnd/FocalPoint 发出的事件视为监听者本地上下文；其它玩家/NPC 过滤,具名循环：85 ms 更新、100 ms 连续脉冲；KillSound/音量/实体/暂停/卸载控制生命周期,高（客户端 Lua 可见循环）；已验证参数逐事件映射，未知参数保持中性
243,rifts5/wagdrone_flying/electro_ball_explode,PLAYER,2.0,True,1.0,False,323,1,3,"haptics.lua 第 323 行注册；触发证据：prefabs/wagdrone_projectile.lua:81 inst.SoundEmitter:PlaySound(""rifts5/wagdrone_flying/electro_ball_explode"")；prefabs/wagdrone_projectile.lua:151 inst.SoundEmitter:PlaySound(""rifts5/wagdrone_flying/electro_ball_explode"")；prefabs/wx78_taser_projectile.lua:163 inst.SoundEmitter:PlaySound(""rifts5/wagdrone_flying/electro_ball_explode"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,爆炸/重击三段冲击包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
244,dontstarve/common/fireAddFuel,ENVIRONMENT,1.0,True,1.0,False,330,1,25,"haptics.lua 第 330 行注册；触发证据：fx.lua:1758 sound = ""dontstarve/common/fireAddFuel"",；fx.lua:1767 sound = ""dontstarve/common/fireAddFuel"",；fx.lua:1776 sound = ""dontstarve/common/fireAddFuel"",；另 22 处",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,ENVIRONMENT 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 8–46 单位；超距归零，可由 Spatial Reach 缩放,环境双段脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
245,dontstarve/common/forestfire,ENVIRONMENT,2.0,True,1.0,False,331,1,4,"haptics.lua 第 331 行注册；触发证据：prefabs/character_fire.lua:64 sound = ""dontstarve/common/forestfire"",；prefabs/fire.lua:24 {anim=""level4"", anim_controlled_burn=""level4_controlled_burn"", sound=""dontstarve/common/forestfire"", radius=6, intensity=.9, falloff=.2, colour = {255/255,190/255,121/255}, soundintensity=1},；prefabs/fire.lua:25 {anim=""level5"", anim_controlled_burn=""level5_controlled_burn"", sound=""dontstarve/common/forestfire"", radius=7, intensity=.9, falloff=.2, colour = {255/255,190/255,121/255}, soundintensity=1},；另 1 处",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,ENVIRONMENT 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 8–46 单位；超距归零，可由 Spatial Reach 缩放,环境双段脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
246,dontstarve/common/campfire,ENVIRONMENT,1.0,True,1.0,False,332,1,20,"haptics.lua 第 332 行注册；触发证据：prefabs/campfirefire.lua:19 {anim=""level1"", sound=""dontstarve/common/campfire"", radius=2, intensity=.8, falloff=.33, colour=LIGHT_COLOUR, soundintensity=.1},；prefabs/campfirefire.lua:20 {anim=""level2"", sound=""dontstarve/common/campfire"", radius=3, intensity=.8, falloff=.33, colour=LIGHT_COLOUR, soundintensity=.3},；prefabs/campfirefire.lua:21 {anim=""level3"", sound=""dontstarve/common/campfire"", radius=4, intensity=.8, falloff=.33, colour=LIGHT_COLOUR, soundintensity=.6},；另 17 处",客户端 Lua 路径由 SoundEmitter 钩子精确处理；服务端直接复制路径依赖同事件是否也有客户端回调,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,ENVIRONMENT 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 8–46 单位；超距归零，可由 Spatial Reach 缩放,环境双段脉冲包络,混合：客户端路径精确，纯服务端路径存在引擎可观察性限制
247,dontstarve/common/treefire,ENVIRONMENT,1.0,True,1.0,False,333,1,4,"haptics.lua 第 333 行注册；触发证据：prefabs/bernie_big.lua:754 inst.SoundEmitter:PlaySound(""dontstarve/common/treefire"",""firelp"")；prefabs/character_fire.lua:47 sound = ""dontstarve/common/treefire"",；prefabs/character_fire.lua:81 sound = ""dontstarve/common/treefire"",；另 1 处",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,ENVIRONMENT 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 8–46 单位；超距归零，可由 Spatial Reach 缩放,环境双段脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
248,dontstarve/common/nightmareAddFuel,ENVIRONMENT,1.0,True,1.0,False,334,1,16,"haptics.lua 第 334 行注册；触发证据：prefabs/amulet.lua:329 TheFocalPoint.SoundEmitter:PlaySound(""dontstarve/common/nightmareAddFuel"")；prefabs/amulet.lua:336 inst.SoundEmitter:PlaySound(""dontstarve/common/nightmareAddFuel"")；prefabs/amulet.lua:338 owner.SoundEmitter:PlaySound(""dontstarve/common/nightmareAddFuel"")；另 13 处",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,ENVIRONMENT 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 8–46 单位；超距归零，可由 Spatial Reach 缩放,环境双段脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
249,dontstarve/wilson/burned,ENVIRONMENT,1.0,True,1.0,False,335,1,2,"haptics.lua 第 335 行注册；触发证据：widgets/fireover.lua:39 TheFocalPoint.SoundEmitter:PlaySound(""dontstarve/wilson/burned"", nil, low and .23 or nil)；widgets/fireover.lua:74 TheFocalPoint.SoundEmitter:PlaySound(""dontstarve/wilson/burned"", nil, .66)",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,ENVIRONMENT 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 8–46 单位；超距归零，可由 Spatial Reach 缩放,环境双段脉冲包络,高：客户端 Lua 原调用、参数与返回值不改变
250,dontstarve_DLC001/common/coldfire,ENVIRONMENT,1.0,True,1.0,False,336,1,4,"haptics.lua 第 336 行注册；触发证据：prefabs/coldfirefire.lua:20 { anim = ""level1_redux"", sound = ""dontstarve_DLC001/common/coldfire"", radius = 2, intensity = .8, falloff = .33, colour = lightColour, soundintensity = .1 },；prefabs/coldfirefire.lua:21 { anim = ""level2_redux"", sound = ""dontstarve_DLC001/common/coldfire"", radius = 3, intensity = .8, falloff = .33, colour = lightColour, soundintensity = .3 },；prefabs/coldfirefire.lua:22 { anim = ""level3_redux"", sound = ""dontstarve_DLC001/common/coldfire"", radius = 4, intensity = .8, falloff = .33, colour = lightColour, soundintensity = .6 },；另 1 处",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,ENVIRONMENT 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 8–46 单位；超距归零，可由 Spatial Reach 缩放,环境双段脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
251,dontstarve/common/fireOut,ENVIRONMENT,1.0,True,1.0,False,337,1,8,"haptics.lua 第 337 行注册；触发证据：fx.lua:3154 sound = ""dontstarve/common/fireOut"",；components/firefx.lua:147 self.inst.SoundEmitter:PlaySound(self.extinguishsound or ""dontstarve/common/fireOut"")；components/freezefx.lua:119 self.inst.SoundEmitter:PlaySound(""dontstarve/common/fireOut"")；另 5 处",客户端 Lua 路径由 SoundEmitter 钩子精确处理；服务端直接复制路径依赖同事件是否也有客户端回调,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,ENVIRONMENT 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 8–46 单位；超距归零，可由 Spatial Reach 缩放,环境双段脉冲包络,混合：客户端路径精确，纯服务端路径存在引擎可观察性限制
